Frame Time, x, y
48.882,213,59
48.924,207,59
48.966,205,59
49.007,216,58
49.049,212,59
49.091,202,61
49.132,203,60
49.174,204,60
49.216,204,60
49.258,342,57
49.299,203,60
49.341,201,61
49.383,203,60
49.424,325,61
49.466,332,59
49.508,342,58
49.549,329,61
49.591,308,66
49.633,314,63
49.675,317,62
49.716,310,64
49.758,308,68
49.800,308,68
49.841,304,67
49.883,309,68
49.925,311,69
49.967,306,68
50.008,308,68
50.050,308,68
50.092,315,69
50.133,310,69
50.175,311,69
50.217,313,69
50.259,315,69
50.300,313,69
50.342,314,69
50.384,315,69
50.425,314,68
50.467,313,69
50.509,313,69
50.551,315,69
50.592,315,67
50.634,313,68
50.676,315,67
50.717,314,67
50.759,315,66
50.801,316,67
50.842,314,67
50.884,316,66
50.926,318,64
50.968,316,65
51.009,314,65
51.051,314,65
51.093,326,59
51.134,317,63
51.176,319,64
51.218,323,60
51.260,333,58
51.301,328,59
51.343,327,59
51.385,335,58
51.426,336,57
51.468,335,58
51.510,336,57
51.552,335,58
51.593,338,57
51.635,342,56
51.677,338,56
51.718,341,56
51.760,339,57
51.802,342,57
51.843,340,56
51.885,340,57
51.927,365,56
51.969,370,55
52.010,350,57
52.052,374,54
52.094,367,56
52.135,364,55
52.177,363,55
52.219,367,55
52.261,369,55
52.302,370,54
52.344,367,55
52.386,366,55
52.427,374,54
52.469,370,55
52.511,372,54
52.552,372,55
52.594,364,55
52.636,366,55
52.678,366,55
52.719,371,55
52.761,391,52
52.803,233,49
52.844,377,54
52.886,233,47
52.928,396,52
52.970,391,52
53.011,234,48
53.053,394,52
53.095,402,51
53.136,238,47
53.178,398,52
53.220,239,47
53.262,397,53
53.303,399,52
53.345,401,52
53.387,401,52
53.428,389,51
53.470,392,52
53.512,398,51
53.554,394,52
53.595,391,52
53.637,387,51
53.679,389,51
53.720,387,51
53.762,395,52
53.804,389,51
53.845,386,51
53.887,389,51
53.929,398,51
53.971,398,51
54.012,394,52
54.054,393,52
54.096,396,51
54.137,395,51
54.179,397,51
54.221,393,52
54.263,393,51
54.304,395,51
54.346,391,51
54.388,395,51
54.429,235,48
54.471,394,50
54.513,394,50
54.555,394,51
54.596,206,42
54.638,208,42
54.680,207,42
54.721,207,42
54.763,207,42
54.805,207,42
54.846,206,42
54.888,207,42
54.930,201,32
54.972,208,42
55.013,208,42
55.055,208,42
55.097,200,32
55.138,200,31
55.180,200,31
